id_artista,codigo,nombre_completo,genero,fecha_nacimiento,departamento_pcode,municipio_pcode,taller_id,especialidad_principal,reconocimientos
1,ART_GT0404_0000,Elena Coché Tupul,Femenino,1953-06-15,GT04,GT0404,,Danzante de Danza Folklórica,Premio local de Arte Popular 2018 en Comalapa.
2,ART_GT0405_0001,Tomas Ixcol Mendoza,Masculino,1998-02-04,GT04,GT0405,864,Maestro Tallador de Jade,
3,ART_GT0406_0002,Antonia Tzoc Chavez,Femenino,1995-08-10,GT04,GT0406,766,Pintor Paisajista Contemporáneo,
4,ART_GT0407_0003,Miguel Chox Ajcalón,Masculino,1993-10-24,GT04,GT0407,548,Constructor de Marimbas,
5,ART_GT0408_0004,Elena Tupul Quiché,Femenino,1958-04-06,GT04,GT0408,956,Maestro Tallador de Jade,Premio local de Arte Popular 2021 en Pochuta.
6,ART_GT0409_0005,Pedro Mendoza Yac,Masculino,1996-06-09,GT04,GT0409,,Constructor de Marimbas,
7,ART_GT0410_0006,Tomasa Chavez Guarcax,Femenino,1995-11-06,GT04,GT0410,725,Constructor de Marimbas,
8,ART_GT0411_0007,Santiago Ajcalón Cux,Masculino,2001-01-20,GT04,GT0411,549,Pintor Paisajista Contemporáneo,
9,ART_GT0412_0008,Antonia Quiché Xiquín,Femenino,1951-08-12,GT04,GT0412,322,Alfarero Tradicional,Premio local de Arte Popular 2025 en Yepocapa.
10,ART_GT0413_0009,Jacinto Yac Tuy,Masculino,1998-04-25,GT04,GT0413,330,Intérprete de Marimba,
11,ART_GT0414_0010,Maria Guarcax Tax,Femenino,1958-10-16,GT04,GT0414,,Pintor Primitivista,
12,ART_GT0415_0011,Juan Cux Coché,Masculino,1951-12-18,GT04,GT0415,223,Maestro Tallador de Jade,
13,ART_GT0416_0012,Maria Xiquín Ixcol,Femenino,1973-08-25,GT04,GT0416,142,Pintor Primitivista,Premio local de Arte Popular 2016 en El Tejar.
14,ART_GT0700_0013,Lucas Tuy Tzoc,Masculino,1979-05-03,GT07,GT0700,952,Talabartero de Cuero,
15,ART_GT0701_0014,Isabel Tax Chox,Femenino,2005-09-17,GT07,GT0701,267,Danzante de Danza Folklórica,
16,ART_GT0702_0015,Santiago Coché Tupul,Masculino,1992-08-11,GT07,GT0702,,Pintor Primitivista,
17,ART_GT0703_0016,Manuela Ixcol Mendoza,Femenino,1961-10-10,GT07,GT0703,400,Danzante de Danza Folklórica,Premio local de Arte Popular 2014 en Santa María Visitación.
18,ART_GT0704_0017,Gaspar Tzoc Chavez,Masculino,1996-09-18,GT07,GT0704,466,Cestero de Fibras Naturales,
19,ART_GT0705_0018,Antonia Chox Ajcalón,Femenino,1979-06-21,GT07,GT0705,787,Constructor de Marimbas,
20,ART_GT0706_0019,Jacinto Tupul Quiché,Masculino,1968-05-09,GT07,GT0706,1011,Alfarero Tradicional,
21,ART_GT0707_0020,Juana Mendoza Yac,Femenino,1978-07-15,GT07,GT0707,,Alfarero Tradicional,Premio local de Arte Popular 2012 en Santa Clara La Laguna.
