codigo,nombre,representante,contacto,departamento_nombre,municipio_nombre
PROV_GT01_0000,Transportes Lago De Amatitlan - Ref 1,María Guzmán,+502 44775897,Guatemala,Lago De Amatitlan
PROV_GT01_0001,Autobuses Guatemala - Ref 2,Manuel Cox,+502 41972616,Guatemala,Guatemala
PROV_GT01_0002,Lancheros Unidos Santa Catarina Pinula - Ref 3,Luisa Chaj,+502 58257711,Guatemala,Santa Catarina Pinula
PROV_GT01_0003,Fleteros del Altiplano San José Pinula - Ref 4,Diego Méndez,+502 54135883,Guatemala,San José Pinula
PROV_GT01_0004,Cooperativa de Transportistas San José del Golfo - Ref 5,Pedro Cabrera,+502 45782722,Guatemala,San José del Golfo
PROV_GT01_0005,Rápidos de Occidente Palencia - Ref 6,María Cox,+502 52178035,Guatemala,Palencia
PROV_GT01_0006,Shuttles Chinautla - Ref 7,Tomasa Marroquín,+502 58282986,Guatemala,Chinautla
PROV_GT01_0007,Taxis del Centro San Pedro Ayampuc - Ref 8,Carlos Tzul,+502 55977092,Guatemala,San Pedro Ayampuc
PROV_GT01_0008,Transportes Mixco - Ref 9,Juana Tzul,+502 50059980,Guatemala,Mixco
PROV_GT01_0009,Autobuses San Pedro Sacatepéquez - Ref 10,Elena Méndez,+502 42405667,Guatemala,San Pedro Sacatepéquez
PROV_GT01_0010,Lancheros Unidos San Juan Sacatepéquez - Ref 11,Manuel Jax,+502 47734134,Guatemala,San Juan Sacatepéquez
PROV_GT01_0011,Fleteros del Altiplano San Raimundo - Ref 12,Elena Hernández,+502 55343950,Guatemala,San Raimundo
PROV_GT01_0012,Cooperativa de Transportistas Chuarrancho - Ref 13,Luisa Pérez,+502 43817184,Guatemala,Chuarrancho
PROV_GT01_0013,Rápidos de Occidente Fraijanes - Ref 14,Luisa Tzoc,+502 56953579,Guatemala,Fraijanes
PROV_GT01_0014,Shuttles Amatitlán - Ref 15,Juan Chaj,+502 54565271,Guatemala,Amatitlán
PROV_GT01_0015,Taxis del Centro Villa Nueva - Ref 16,Miguel Méndez,+502 52425260,Guatemala,Villa Nueva
PROV_GT01_0016,Transportes Villa Canales - Ref 17,Juana Cox,+502 49635367,Guatemala,Villa Canales
PROV_GT01_0017,Autobuses Petapa - Ref 18,Miguel Hernández,+502 42223128,Guatemala,Petapa
PROV_GT02_0018,Lancheros Unidos Guastatoya - Ref 19,Manuel Chaj,+502 55626829,El Progreso,Guastatoya
PROV_GT02_0019,Fleteros del Altiplano Morazán - Ref 20,Pedro Guzmán,+502 46332558,El Progreso,Morazán
PROV_GT02_0020,Cooperativa de Transportistas San Agustín Acasaguastlán - Ref 21,Elena Chaj,+502 41434844,El Progreso,San Agustín Acasaguastlán
PROV_GT02_0021,Rápidos de Occidente San Cristóbal Acasaguastlán - Ref 22,Carlos Marroquín,+502 43135922,El Progreso,San Cristóbal Acasaguastlán
PROV_GT02_0022,Shuttles El Jícaro - Ref 23,Juana López,+502 54876223,El Progreso,El Jícaro
PROV_GT02_0023,Taxis del Centro Sanarate - Ref 24,Elena Pérez,+502 45477414,El Progreso,Sanarate
PROV_GT02_0024,Transportes Sansare - Ref 25,Manuel Jax,+502 52976874,El Progreso,Sansare
PROV_GT02_0025,Autobuses San Antonio La Paz - Ref 26,Juana Méndez,+502 50346538,El Progreso,San Antonio La Paz
PROV_GT03_0026,Lancheros Unidos Antigua Guatemala - Ref 27,Pedro Chaj,+502 49381560,Sacatepéquez,Antigua Guatemala
PROV_GT03_0027,Fleteros del Altiplano Jocotenango - Ref 28,Elena Batz,+502 52571528,Sacatepéquez,Jocotenango
PROV_GT03_0028,Cooperativa de Transportistas Pastores - Ref 29,Juana Méndez,+502 50002404,Sacatepéquez,Pastores
PROV_GT03_0029,Rápidos de Occidente Sumpango - Ref 30,Miguel Tzul,+502 41461289,Sacatepéquez,Sumpango
PROV_GT03_0030,Shuttles Santo Domingo Xenacoj - Ref 31,José Méndez,+502 56011142,Sacatepéquez,Santo Domingo Xenacoj
PROV_GT03_0031,Taxis del Centro Santiago Sacatepéquez - Ref 32,Miguel Gómez,+502 50727992,Sacatepéquez,Santiago Sacatepéquez
PROV_GT03_0032,Transportes San Bartolomé Milpas Altas - Ref 33,Manuel López,+502 47838226,Sacatepéquez,San Bartolomé Milpas Altas
PROV_GT03_0033,Autobuses San Lucas Sacatepéquez - Ref 34,Luisa Batz,+502 59166825,Sacatepéquez,San Lucas Sacatepéquez
PROV_GT03_0034,Lancheros Unidos Santa Lucía Milpas Altas - Ref 35,Esteban Chaj,+502 57137994,Sacatepéquez,Santa Lucía Milpas Altas
PROV_GT03_0035,Fleteros del Altiplano Magdalena Milpas Altas - Ref 36,Miguel Tzul,+502 46018514,Sacatepéquez,Magdalena Milpas Altas
PROV_GT03_0036,Cooperativa de Transportistas Santa María de Jesús - Ref 37,Rosa Gómez,+502 42675432,Sacatepéquez,Santa María de Jesús
PROV_GT03_0037,Rápidos de Occidente Ciudad Vieja - Ref 38,José Jax,+502 59522718,Sacatepéquez,Ciudad Vieja
PROV_GT03_0038,Shuttles San Miguel Dueñas - Ref 39,Manuel Cox,+502 46761603,Sacatepéquez,San Miguel Dueñas
PROV_GT03_0039,Taxis del Centro Alotenango - Ref 40,Diego Chaj,+502 56529574,Sacatepéquez,Alotenango
PROV_GT03_0040,Transportes San Antonio Aguas Calientes - Ref 41,Esteban Marroquín,+502 53335359,Sacatepéquez,San Antonio Aguas Calientes
PROV_GT03_0041,Autobuses Santa Catarina Barahona - Ref 42,Juan Cabrera,+502 51362957,Sacatepéquez,Santa Catarina Barahona
PROV_GT04_0042,Lancheros Unidos Chimaltenango - Ref 43,Tomasa Marroquín,+502 53017788,Chimaltenango,Chimaltenango
PROV_GT04_0043,Fleteros del Altiplano San José Poaquil - Ref 44,Juana Tzul,+502 47022790,Chimaltenango,San José Poaquil
PROV_GT04_0044,Cooperativa de Transportistas San Martín Jilotepeque - Ref 45,Carlos Méndez,+502 43088111,Chimaltenango,San Martín Jilotepeque
PROV_GT04_0045,Rápidos de Occidente Comalapa - Ref 46,Pedro Cox,+502 53616593,Chimaltenango,Comalapa
PROV_GT04_0046,Shuttles Santa Apolonia - Ref 47,Miguel Hernández,+502 58624626,Chimaltenango,Santa Apolonia
PROV_GT04_0047,Taxis del Centro Tecpán Guatemala - Ref 48,José Cabrera,+502 50527616,Chimaltenango,Tecpán Guatemala
PROV_GT04_0048,Transportes Patzún - Ref 49,José Hernández,+502 54167877,Chimaltenango,Patzún
PROV_GT04_0049,Autobuses Pochuta - Ref 50,Pedro Tzul,+502 55328976,Chimaltenango,Pochuta
PROV_GT04_0050,Lancheros Unidos Patzicía - Ref 51,Esteban Cabrera,+502 41567032,Chimaltenango,Patzicía
PROV_GT04_0051,Fleteros del Altiplano Santa Cruz Balanyá - Ref 52,Luisa Marroquín,+502 47455394,Chimaltenango,Santa Cruz Balanyá
PROV_GT04_0052,Cooperativa de Transportistas Acatenango - Ref 53,Luisa Chaj,+502 48388931,Chimaltenango,Acatenango
PROV_GT04_0053,Rápidos de Occidente Yepocapa - Ref 54,José Chaj,+502 41183657,Chimaltenango,Yepocapa
PROV_GT04_0054,Shuttles San Andrés Itzapa - Ref 55,Carlos Marroquín,+502 57657435,Chimaltenango,San Andrés Itzapa
PROV_GT04_0055,Taxis del Centro Parramos - Ref 56,Carlos Marroquín,+502 44205773,Chimaltenango,Parramos
